0,725708,0.371
1,766112,0.475
1,1895545,0.405
0,3129287,0.517
1,4603454,0.601
0,5655871,0.355
1,5655887,0.391
1,6592936,0.517
0,6675261,0.370
0,7445257,0.336
0,9037260,0.610
0,9323010,0.352
0,10378176,0.679
1,10487519,0.537
0,10487584,0.572
1,11126031,0.571
1,12905665,0.654
1,13049194,0.405
1,14146840,0.387
0,14474545,0.355
0,15071296,0.383
0,16244836,0.644
1,16244902,0.695
1,16493423,0.386
0,18851321,0.592
0,18977985,0.355
0,19093246,0.730
1,19187347,0.422
1,19388937,0.450
0,20037200,0.443
1,20409530,0.520
0,20447545,0.716
0,21474105,0.803
0,22118352,0.388
1,23217965,0.438
0,23218030,0.496
0,23350425,0.437
1,23382462,0.537
0,24015710,0.326
0,24457850,0.323
0,25754578,0.331
1,25786571,0.430
0,25886261,0.472
1,25886311,0.550
1,27346665,0.585
0,30587974,0.351
1,31797272,0.550
1,31982059,0.352
0,32172391,0.463
1,32204291,0.671
0,33134407,0.351
1,33166375,0.564
0,34447210,0.392
1,40974198,0.460
0,41647991,0.342
0,42521336,0.327
0,44544767,0.386
0,45068909,0.522
1,45068925,0.567
0,45937095,0.334
1,47265354,0.820
1,48148941,0.426
0,49288051,0.399
1,50104913,0.577
1,51488523,0.342
1,52001104,0.550
1,53061647,0.520
1,55032552,0.407
1,55664771,0.542
0,55664803,0.548
0,55882700,0.343
1,55914512,0.509
1,56144741,0.369
0,56144806,0.419
0,56897057,0.519
0,61922229,0.417
1,61922262,0.434
1,62154276,0.627
0,63633381,0.654
1,63633446,0.710
1,65304364,0.472
0,67781713,0.357
1,69092939,0.441
1,69306187,0.578
0,69306203,0.570
1,69411273,0.363
0,70019968,0.517
1,70053242,0.636
1,71187683,0.506
1,72081025,0.396
0,72081057,0.411
0,73109194,0.371
1,73142693,0.508
0,74529883,0.429
0,76278982,0.429
1,76279000,0.433
1,76445836,0.519
1,77443242,0.438
1,77791006,0.342
0,79339003,0.334
1,79917074,0.342
1,81453896,0.355
0,81934960,0.404
1,81966764,0.522
0,82297967,0.351
1,85317743,0.396
0,87146478,0.360
1,87178516,0.628
0,88411680,0.687
1,88411697,0.729
1,88627126,0.347
1,89065559,0.323
1,91047218,0.351
1,92431826,0.550
0,92431889,0.607
0,93454426,0.479
1,93454442,0.533
1,94145025,0.567
0,94145057,0.601
0,94290603,0.374
1,94322598,0.486
0,94377132,0.347
1,94377198,0.415
0,94496393,0.438
0,94588831,0.679
0,94945487,0.524
1,94977417,0.664
1,95127953,0.422
0,95128034,0.774
0,95365872,0.529
1,96808601,0.380
0,96808681,0.508
1,97768249,0.376
1,98358113,0.348
1,99066287,0.535
1,99447408,0.386
1,99675391,0.613
0,99731682,0.384
0,99899450,0.411
0,100426834,0.403
1,100426851,0.423
1,101947177,0.531
0,104195233,0.418
1,105513881,0.422
1,106533006,0.347
1,107009310,0.561
0,107009390,0.679
1,108698808,0.396
0,110779690,0.351
1,110812529,0.794
1,112588171,0.349
0,112588187,0.392
1,112784369,0.384
1,115034750,0.505
0,115034829,0.572
1,115319583,0.409
0,118501333,0.600
1,120287026,0.477
0,120939092,0.547
1,120971603,0.647
1,121078682,0.358
0,122398045,0.361
1,122663081,0.338
0,123461062,0.398
0,124348141,0.546
1,124380674,0.685
1,124520725,0.380
0,124591868,0.335
1,124591902,0.376
0,127240311,0.372
1,127377925,0.577
0,128022918,0.409
1,128279177,0.325
